Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2018/12/01;00:02:30;1543622550;258.5;309;309;300.0;0;0;17.3;63.2;72;734;-1
2018/12/01;00:17:40;1543623460;257.6;308;309;291.0;0;0;17.3;63.1;72;709;-1
2018/12/01;00:32:50;1543624370;252.2;303;303;284.0;0;0;17.2;62.9;72;714;-1
2018/12/01;00:48:00;1543625280;279.1;329;330;322.0;0;0;17.1;62.7;73;727;-1
2018/12/01;01:03:10;1543626190;271.1;321;322;312.0;0;0;17.0;62.7;73;707;-1
2018/12/01;01:18:20;1543627100;250.4;300;301;280.0;0;0;16.9;62.4;73;669;-1
2018/12/01;01:33:30;1543628010;249.6;299;300;277.0;0;0;16.8;62.3;73;687;-1
2018/12/01;01:48:40;1543628920;250.4;300;301;278.0;0;0;16.7;62.1;73;647;-1
2018/12/01;02:03:50;1543629830;189.5;240;240;214.0;0;0;16.7;62.0;72;584;-1
2018/12/01;02:19:00;1543630740;186.8;237;237;213.0;0;0;16.7;62.0;72;580;-1
2018/12/01;02:34:10;1543631650;176.9;227;228;199.0;0;0;16.6;61.8;71;573;-1
2018/12/01;02:49:20;1543632560;160.8;211;212;181.0;0;0;16.4;61.5;71;540;-1
2018/12/01;03:04:30;1543633470;154.5;205;205;174.0;0;0;16.3;61.4;72;521;-1
2018/12/01;03:19:40;1543634380;150.9;201;202;166.0;0;0;16.2;61.2;71;512;-1
2018/12/01;03:34:50;1543635290;149.1;199;199;167.0;0;0;16.1;61.0;70;509;-1
2018/12/01;03:50:00;1543636200;144.7;197;193;157.0;0;0;16.0;60.8;71;512;-1
2018/12/01;04:05:10;1543637110;148.2;199;197;163.0;0;0;16.0;60.7;71;493;-1
2018/12/01;04:20:20;1543638020;164.4;215;215;190.0;0;0;15.9;60.7;71;491;-1
2018/12/01;04:35:30;1543638930;159.0;209;210;181.0;0;0;15.9;60.6;70;475;-1
2018/12/01;04:50:40;1543639840;155.4;206;206;176.0;0;0;15.9;60.6;70;478;-1
2018/12/01;05:05:48;1543640748;142.9;196;190;158.0;0;0;15.8;60.5;70;465;-1
2018/12/01;05:20:58;1543641658;148.2;199;197;166.0;0;0;15.8;60.5;70;464;-1
2018/12/01;05:36:08;1543642568;147.3;198;196;163.0;0;0;15.7;60.2;70;471;-1
2018/12/01;05:51:18;1543643478;150.9;201;202;167.0;0;0;15.6;60.0;70;480;-1
2018/12/01;06:06:28;1543644388;152.7;203;204;169.0;0;0;15.5;59.8;71;477;-1
2018/12/01;06:21:38;1543645298;151.8;202;203;170.0;0;0;15.4;59.8;71;475;-1
2018/12/01;06:36:48;1543646208;155.4;206;206;174.0;0;0;15.3;59.6;72;484;-1
2018/12/01;06:51:58;1543647118;168.9;219;220;193.0;0;0;15.3;59.6;72;494;-1
2018/12/01;07:07:08;1543648028;164.4;215;215;185.0;0;0;15.3;59.6;72;501;-1
2018/12/01;07:22:18;1543648938;177.8;228;229;199.0;0;0;15.5;59.8;72;507;-1
2018/12/01;07:37:28;1543649848;183.2;233;234;212.0;0;0;15.5;59.9;72;513;-1
2018/12/01;07:52:38;1543650758;185.9;236;237;212.0;0;0;15.7;60.2;73;510;-1
2018/12/01;08:00:10;1543651210;174.2;224;225;195.0;0;0;15.8;60.4;73;503;-1
2018/12/01;08:00:20;1543651220;184.1;234;235;205.0;0;0;15.8;60.4;73;503;-1
2018/12/01;08:00:30;1543651230;194.0;244;245;220.0;0;0;15.8;60.4;72;502;-1
2018/12/01;08:00:40;1543651240;193.1;243;244;221.0;0;0;15.8;60.4;72;504;-1
2018/12/01;08:00:50;1543651250;194.9;245;245;224.0;0;0;15.8;60.4;72;503;-1
2018/12/01;08:01:00;1543651260;191.3;241;242;226.0;0;0;15.7;60.3;73;503;-1
2018/12/01;08:01:10;1543651270;193.1;243;244;227.0;0;0;15.7;60.3;73;503;-1
2018/12/01;08:01:20;1543651280;196.7;247;247;233.0;0;0;15.7;60.3;73;503;-1
2018/12/01;08:01:30;1543651290;197.6;248;248;229.0;0;0;15.7;60.3;73;502;-1
2018/12/01;08:01:40;1543651300;195.8;246;246;225.0;0;0;15.7;60.3;73;502;-1
2018/12/01;08:01:50;1543651310;197.6;248;248;227.0;0;0;15.7;60.3;73;502;-1
2018/12/01;08:02:00;1543651320;195.8;246;246;223.0;0;0;15.7;60.3;73;502;-1
2018/12/01;08:02:10;1543651330;195.8;246;246;225.0;0;0;15.7;60.3;73;501;-1
2018/12/01;08:02:20;1543651340;192.2;242;243;221.0;0;0;15.7;60.3;73;501;-1
2018/12/01;08:02:30;1543651350;193.1;243;244;221.0;0;0;15.7;60.3;73;501;-1
2018/12/01;08:02:40;1543651360;196.7;247;247;229.0;0;0;15.7;60.3;73;501;-1
2018/12/01;08:02:50;1543651370;195.8;246;246;233.0;0;0;15.7;60.3;73;500;-1
2018/12/01;08:03:00;1543651380;192.2;242;243;230.0;0;0;15.7;60.3;72;500;-1
2018/12/01;08:03:10;1543651390;192.2;242;243;223.0;0;0;15.7;60.3;72;500;-1
2018/12/01;08:03:20;1543651400;194.0;244;245;220.0;0;0;15.7;60.3;72;500;-1
2018/12/01;08:03:30;1543651410;197.6;248;248;224.0;0;0;15.7;60.3;72;500;-1
2018/12/01;08:03:40;1543651420;194.9;245;245;224.0;0;0;15.7;60.3;72;499;-1
2018/12/01;08:03:50;1543651430;195.8;246;246;223.0;0;0;15.7;60.3;72;498;-1
2018/12/01;08:04:00;1543651440;196.7;247;247;223.0;0;0;15.7;60.3;72;499;-1
2018/12/01;08:04:10;1543651450;199.3;249;250;223.0;0;0;15.7;60.3;72;498;-1
2018/12/01;08:04:20;1543651460;198.4;248;249;227.0;0;0;15.7;60.3;72;498;-1
2018/12/01;08:04:30;1543651470;199.3;249;250;232.0;0;0;15.8;60.4;72;497;-1
2018/12/01;08:04:40;1543651480;199.3;249;250;236.0;0;0;15.8;60.4;72;498;-1
2018/12/01;08:04:50;1543651490;200.2;250;251;235.0;0;0;15.8;60.4;72;498;-1
2018/12/01;08:05:00;1543651500;199.3;249;250;229.0;0;0;15.8;60.4;72;498;-1
2018/12/01;08:05:10;1543651510;199.3;249;250;226.0;0;0;15.8;60.4;72;499;-1
2018/12/01;08:05:20;1543651520;199.3;249;250;229.0;0;0;15.8;60.4;72;500;-1
2018/12/01;08:05:30;1543651530;199.3;249;250;228.0;0;0;15.8;60.4;73;500;-1
2018/12/01;08:05:40;1543651540;201.1;251;252;231.0;0;0;15.8;60.4;73;501;-1
2018/12/01;08:05:50;1543651550;200.2;250;251;230.0;0;0;15.8;60.4;73;501;-1
2018/12/01;08:06:00;1543651560;203.8;254;254;235.0;0;0;15.8;60.5;73;500;-1
2018/12/01;08:06:10;1543651570;199.3;249;250;226.0;0;0;15.8;60.5;73;501;-1
2018/12/01;08:06:20;1543651580;194.9;245;245;220.0;0;0;15.8;60.5;73;501;-1
2018/12/01;08:06:30;1543651590;196.7;247;247;222.0;0;0;15.8;60.5;73;502;-1
2018/12/01;08:06:40;1543651600;199.3;249;250;231.0;0;0;15.8;60.5;73;501;-1
2018/12/01;08:06:50;1543651610;202.0;252;252;235.0;0;0;15.8;60.5;73;502;-1
2018/12/01;08:07:00;1543651620;197.6;248;248;228.0;0;0;15.9;60.5;73;503;-1
2018/12/01;08:07:10;1543651630;197.6;248;248;229.0;0;0;15.9;60.5;73;504;-1
2018/12/01;08:07:20;1543651640;200.2;250;251;233.0;0;0;15.9;60.5;73;505;-1
2018/12/01;08:07:30;1543651650;201.1;251;252;235.0;0;0;15.9;60.6;73;506;-1
2018/12/01;08:07:40;1543651660;202.9;253;253;238.0;0;0;15.9;60.6;73;506;-1
2018/12/01;08:07:50;1543651670;200.2;250;251;235.0;0;0;15.9;60.6;73;509;-1
2018/12/01;08:08:00;1543651680;198.4;248;249;232.0;0;0;15.9;60.6;73;509;-1
2018/12/01;08:08:10;1543651690;195.8;246;246;227.0;0;0;15.9;60.6;73;510;-1
2018/12/01;08:08:20;1543651700;194.9;245;245;226.0;0;0;15.9;60.6;73;511;-1
2018/12/01;08:08:30;1543651710;195.8;246;246;225.0;0;0;15.9;60.6;73;511;-1
2018/12/01;08:08:40;1543651720;199.3;249;250;230.0;0;0;15.9;60.6;73;511;-1
2018/12/01;08:08:50;1543651730;199.3;249;250;231.0;0;0;15.9;60.6;73;511;-1
2018/12/01;08:09:00;1543651740;201.1;251;252;235.0;0;0;15.9;60.7;73;512;-1
2018/12/01;08:09:10;1543651750;196.7;247;247;229.0;0;0;15.9;60.7;73;512;-1
2018/12/01;08:09:20;1543651760;195.8;246;246;229.0;0;0;15.9;60.7;73;512;-1
